;Relevant;Verfügbar;Wissenschaftlich;Konkret;Präsentiert Lösung;Unverfügbar
ACM Digital;1;1;1;1;0;0
Springer Link;0;0;0;0;0;0
Google Scholar;8;1;1;1;0;7
