;Relevant;Verfügbar;Wissenschaftlich;Konkret;Präsentiert Lösung;Unverfügbar
ACM Digital;4;4;4;1;1;0
Springer Link;0;0;0;0;0;0
Google Scholar;13;12;11;9;6;1
