Datenbank;Suchbegriff;URL;Relevant;Wissenschaftlich;Konkret;Präsentiert Lösung;Unverfügbar
Google Scholar;Singularity;https://ieeexplore.ieee.org/abstract/document/159595/;FALSE;;;;
Google Scholar;Singularity;https://books.google.com/books?hl=en&lr=&id=9FtnppNpsT4C&oi=fnd&pg=PT22&dq=Singularity&ots=K3cpZD3XEw&sig=b_nRDpEhph52_J-W91xcH8HdfqQ;FALSE;;;;
Google Scholar;Strong AI ethics;https://link.springer.com/chapter/10.1007/978-3-030-39512-4_92;FALSE;;;;
Google Scholar;Strong AI ethics;https://ieeexplore.ieee.org/abstract/document/1667947/;TRUE;TRUE;;;TRUE
Google Scholar;Strong AI ethics;https://link.springer.com/content/pdf/10.1007/s11023-020-09517-8.pdf;TRUE;TRUE;TRUE;TRUE;FALSE
Google Scholar;Strong AI ethics;https://www.nature.com/articles/s42256-019-0088-2;TRUE;TRUE;TRUE;TRUE;FALSE
Google Scholar;Strong AI ethics;https://www.scss.tcd.ie/publications/theses/diss/2016/TCD-SCSS-DISSERTATION-2016-032.pdf;TRUE;TRUE;TRUE;FALSE;FALSE
Google Scholar;Strong AI ethics;https://repozytorium.amu.edu.pl/handle/10593/25196;FALSE;;;;
Google Scholar;Strong AI ethics;https://link.springer.com/content/pdf/10.1007/s10676-008-9169-3.pdf;FALSE;;;;
Google Scholar;Strong AI ethics;https://robotic.legal/wp-content/uploads/2019/05/SSRN-id3391293.pdf;FALSE;;;;
Google Scholar;Strong AI ethics;https://books.google.com/books?hl=en&lr=&id=RYOYAwAAQBAJ&oi=fnd&pg=PA316&dq=Strong+AI+ethics&ots=A004xggCxw&sig=_mwyUx3mD_uiaqp-H4EQMgZmc2k;TRUE;TRUE;FALSE;FALSE;FALSE
Google Scholar;Strong AI ethics;https://www.sciencedirect.com/science/article/pii/S0378378220301493;FALSE;;;;
Google Scholar;Superintelligence ethics;https://books.google.com/books?hl=en&lr=&id=NXmv0zXZBi4C&oi=fnd&pg=PA277&dq=Superintelligence+ethics&ots=U8hNvJSPAm&sig=zB7t2UWViblbSAWrK7n6VOCfhDw;TRUE;FALSE;TRUE;TRUE;FALSE
Google Scholar;Superintelligence ethics;https://philpapers.org/rec/BOSHLB;FALSE;;;;
Google Scholar;Superintelligence ethics;https://www.izmemar.com/files/MachineEthicsSuperintelligence.pdf;TRUE;TRUE;FALSE;FALSE;FALSE
Google Scholar;Superintelligence ethics;https://www.sciencedirect.com/science/article/pii/S0004370214001453;TRUE;FALSE;TRUE;FALSE;FALSE
Google Scholar;Superintelligence ethics;https://books.google.com/books?hl=en&lr=&id=4eBbCwAAQBAJ&oi=fnd&pg=IA1&dq=Superintelligence+ethics&ots=dbnfvB_5IC&sig=gN9A4eKFqGh_5RiBdk4oAh0TIN8;FALSE;;;;
Google Scholar;Superintelligence ethics;https://philarchive.org/rec/TORSAT-6;TRUE;TRUE;FALSE;TRUE;FALSE
Google Scholar;Superintelligence ethics;https://www.researchgate.net/profile/Manuel_Hurtado8/publication/312547054_The_Ethics_of_Super_Intelligence/links/5d420027a6fdcc370a7137f5/The-Ethics-of-Super-Intelligence.pdf;TRUE;TRUE;TRUE;FALSE;FALSE
Google Scholar;Superintelligence ethics;https://books.google.com/books?hl=en&lr=&id=N3QzDwAAQBAJ&oi=fnd&pg=PT317&dq=Superintelligence+ethics&ots=tkwl4f8_ZN&sig=tUBaSLMrydvQcTXdd2YWaAkzAO4;TRUE;TRUE;TRUE;FALSE;FALSE
Google Scholar;Superintelligence ethics;https://www.izmemar.com/files/CEV-MachineEthics.pdf;TRUE;TRUE;TRUE;TRUE;FALSE
Google Scholar;Superintelligence ethics;https://link.springer.com/chapter/10.1007/978-3-319-57351-9_42;TRUE;TRUE;TRUE;TRUE;FALSE
