;Relevant;Verfügbar;Wissenschaftlich;Konkret;Präsentiert Lösung;Unverfügbar
ACM Digital;1;1;0;0;0;0
Springer Link;0;0;0;0;0;0
Google Scholar;4;4;3;1;2;0
